#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     19.9215946648314                 3.53                    0
    54.1848625331657     5.29412782878735     5.60824816403629                    0
    63.8613567853759     5.29412782878735     5.17423072345096                    0
    39.7927343638658     5.29412782878735     4.16298094131403                    0
                   0                    0                    0                    0
