#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   3.53000000   0.00000000
  0.00000000   3.53000000   0.00000000
  0.00000000   5.60824816   0.00000000
 54.18486253   5.60824816   0.00000000
 54.18486253   5.17423072   0.00000000
118.04621932   5.17423072   0.00000000
118.04621932   4.16298094   0.00000000
157.83895368   4.16298094   0.00000000
157.83895368   0.00000000   0.00000000
167.83895368   0.00000000   0.00000000
