[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3668338883.66624,03/28/2016,2:56 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC690,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM542,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,512,PREAMP_SERIAL_NUMBER
INFO,LB692,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3668338893.9745,299.999099731445,14999.8994140625,-0.00216401785761741,1.71817150942636E-5,1,0.499626677034896,40.0298881530762,1.00224562521248,4.7499998472631,-0.00598078931798811,-0.0011063673690235,0.25,-4.82475210831269E-6,-0.00216359475161274,-1.34802972645128E-5,299.998870849609,299.998870849609,14999.8818359375,14999.9169921875,56.983845566006,19.9357743076295,30.1111106872559,0,0,0,20,299.850769042969,1,4,1,1.11038208007812,38.6119270324707,,,,,,,,,,,,,,,,
,3668338901.108,300.001739501953,14999.859375,-0.00216242709037792,1.63077124979306E-5,1,0.499626677034896,40.0298881530762,1.00227285463417,4.7499998472631,-0.00597980596861672,-0.00108778295421867,0.25,1.61679107397169E-6,-0.0021620298410292,-7.03350205240655E-6,300.002136230469,300.002136230469,14999.8486328125,14999.8701171875,56.9486722826406,19.9350393771749,30.1014080047607,0,0,0,20,299.845794677734,1,6,1,1.11083984375,39.5894432067871,,,,,,,,,,,,,,,,
,3668338901.4975,300.001968383789,14984.0986328125,-0.00216347071982664,1.75355854702755E-5,1,0.499626677034896,40.0298881530762,1.00227344980125,4.7499998472631,-0.0059851120095342,-0.00107508019880719,0.25,6.40190066990569E-6,-0.0021630923968472,-2.25347295891921E-6,300.001342773438,300.001342773438,14968.3486328125,14999.8486328125,57.1300100991022,19.9357827538245,30.0625610351562,0,0,0,20,299.844818115234,1,6,1,1.1102294921875,38.1231689453125,,,,,,,,,,,,,,,,
,3668338901.9855,300.002593994141,14938.9780273438,-0.00216112035840977,1.64119086425133E-5,1,0.499626677034896,40.0298881530762,1.00227344980125,4.7499998472631,-0.00597286132497926,-0.00110537893360522,0.25,-4.98560878352409E-6,-0.00216069686802639,-1.36294909485256E-5,300.002593994141,300.002593994141,14919.2197265625,14958.736328125,56.9525804252368,19.9357827538245,30.0576400756836,0,0,0,20,299.845428466797,1,6,1,1.11007690429688,38.6119270324707,,,,,,,,,,,,,,,,
,3668338902.464,300.002746582031,14894.2661132812,-0.00214499236275345,1.72556465527791E-5,1,0.499626677034896,40.0298881530762,1.00224957087785,4.7499998472631,-0.00593313732281048,-0.00106978290897237,0.25,4.93300429600897E-6,-0.00214461154282457,-3.64826742179281E-6,300.002593994141,300.002593994141,14869.3125,14919.2197265625,57.1425161554099,19.9380050280461,30.0620536804199,0,0,0,20,299.841461181641,1,6,1,1.0955810546875,38.6119270324707,,,,,,,,,,,,,,,,
,3668338902.97,300.002471923828,14844.4130859375,-0.00213795853573509,1.68623721692361E-5,1,0.499626677034896,40.0298881530762,1.00224957087785,4.7499998472631,-0.0059125056973106,-0.00107271129701649,0.25,2.58898881030981E-6,-0.00213756966830923,-5.96378135148494E-6,300.002899169922,300.002899169922,14819.513671875,14869.3125,56.8759808303522,19.9380050280461,30.1576175689697,0,0,0,20,299.841461181641,1,6,1,1.10260009765625,38.6119270324707,,,,,,,,,,,,,,,,
,3668338903.483,300.00260925293,14794.6044921875,-0.0021302471835537,1.62777938559951E-5,1,0.499626677034896,40.0298881530762,1.00223446099921,4.7499998472631,-0.00588857168650628,-0.00108261942214661,0.25,-2.40912777961126E-6,-0.00212983974596256,-1.09301759810733E-5,300.002044677734,300.002044677734,14769.6953125,14819.513671875,57.0299616486406,19.9315058034272,30.1119327545166,0,0,0,20,299.841857910156,1,6,1,1.10321044921875,39.1006851196289,,,,,,,,,,,,,,,,
,3668338903.97,300.002899169922,14744.8325195313,-0.00211748607230647,1.70466592366099E-5,1,0.499626677034896,40.0298881530762,1.00223446099921,4.7499998472631,-0.0058551200479534,-0.00106615191662044,0.25,1.21574127592961E-6,-0.00211709548992938,-7.25498917303782E-6,300.003173828125,300.003173828125,14719.9697265625,14769.6953125,57.0948368157368,19.9315058034272,30.0671577453613,0,0,0,20,299.839874267578,1,6,1,1.11053466796875,38.6119270324707,,,,,,,,,,,,,,,,
,3668338904.4685,300.002624511719,14695.16796875,-0.0021178393189241,1.59993586178806E-5,1,0.499626677034896,40.0298881530762,1.00221354638558,4.7499998472631,-0.00585801230841946,-0.00105515594140232,0.25,5.24948968547454E-6,-0.00211746482210885,-3.22347881117503E-6,300.002624511719,300.002624511719,14670.3662109375,14719.9697265625,56.9963516223137,19.9377135900577,30.1150608062744,0,0,0,20,299.841064453125,1,6,1,1.10153198242188,39.5894432067871,,,,,,,,,,,,,,,,
,3668338904.9735,300.002548217773,14645.4799804687,-0.00211276730583514,1.73205534741264E-5,1,0.499626677034896,40.0298881530762,1.00221354638558,4.7499998472631,-0.00583851466553109,-0.00108256231576606,0.25,-5.58968771511222E-6,-0.00211235039611675,-1.40404073211049E-5,300.002624511719,300.002624511719,14620.59375,14670.3662109375,57.0166739638137,19.9377135900577,30.0527667999268,0,0,0,20,299.838470458984,1,6,1,1.109619140625,38.1231689453125,,,,,,,,,,,,,,,,
,3668338905.5005,300.002288818359,14595.6870117188,-0.00209319494302265,1.86274840818058E-5,1,0.499626677034896,40.0298881530762,1.00224792054392,4.7499998472631,-0.0057890163812253,-0.00104853329585239,0.25,3.1558612091434E-6,-0.00209281668747366,-5.21826611128926E-6,300.002471923828,300.002471923828,14570.7802734375,14620.59375,56.983845566006,19.9358662634149,30.1549491882324,0,0,0,20,299.836700439453,1,6,1,1.10183715820312,38.1231689453125,,,,,,,,,,,,,,,,
,3668338905.9885,300.002395629883,14545.9155273438,-0.00209494591965132,1.5846911893134E-5,1,0.499626677034896,40.0298881530762,1.00224792054392,4.7499998472631,-0.00579253153510886,-0.00105667642198563,0.25,5.30583304944613E-7,-0.00209455682117344,-7.8501165227343E-6,300.002105712891,300.002105712891,14521.05078125,14570.7802734375,56.9955699937945,19.9358662634149,30.0665435791016,0,0,0,20,299.836700439453,1,6,1,1.10198974609375,38.6119270324707,,,,,,,,,,,,,,,,
,3668338906.495,300.003173828125,14496.0317382812,-0.00208705370666704,1.78504225810238E-5,1,0.499626677034896,40.0298881530762,1.00224910538379,4.7499998472631,-0.00576737428842181,-0.00107099022321924,0.25,-6.08771892689889E-6,-0.00208663954135548,-1.44356464683185E-5,300.002685546875,300.002685546875,14471.0126953125,14521.05078125,57.047939104583,19.9359830570053,30.0143775939941,0,0,0,20,299.835906982422,1,6,1,1.11068725585938,38.6119270324707,,,,,,,,,,,,,,,,
,3668338907.0045,300.003662109375,14440.765625,-0.00206956047316211,1.92713449280977E-5,1,0.499626677034896,40.0298881530762,1.00224910538379,4.7499998472631,-0.00572669507616024,-0.00102007284842172,0.25,9.13239804134554E-6,-0.00206921041902064,8.51556042264132E-7,300.003662109375,300.003662109375,14420.75390625,14460.77734375,56.9447641400445,19.9359830570053,30.0187320709229,0,0,0,20,299.837890625,1,6,1,1.10198974609375,39.5894432067871,,,,,,,,,,,,,,,,
