[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3668331614.10841,03/28/2016,12:54 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC690,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM542,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,512,PREAMP_SERIAL_NUMBER
INFO,LB692,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3668331943.2605,299.996337890625,-14256.7963867188,0.00199876461612754,1.08574197712009E-5,1,0.499626677034896,40.0298881530762,0.979645255820172,-6.4300000667572,0.00540690639290423,0.000960591286164849,0.25,-9.72306134857705E-6,0.00199843066309997,-1.72487521233646E-6,299.996337890625,299.996337890625,-14281.7568359375,-14231.8359375,59.4389407449101,20.3422903240967,30.3765182495117,0,0,0,20,299.844421386719,1,6,1,1.0980224609375,39.1006851196289,,,,,,,,,,,,,,,,
,3668331943.798,299.997009277344,-14311.7236328125,0.0020036582738699,1.04412875502614E-5,1,0.499626677034896,40.0298881530762,0.979686428600184,-6.4300000667572,0.0054167204073216,0.000982968842606952,0.25,-2.35255865227072E-6,0.00200329387821673,5.66374411198256E-6,299.997009277344,299.997009277344,-14331.765625,-14291.681640625,59.0403102001024,20.3421969001957,30.4854259490967,0,0,0,20,299.843231201172,1,6,1,1.08428955078125,38.1231689453125,,,,,,,,,,,,,,,,
,3668331944.252,299.99674987793,-14361.7412109375,0.00201492561961044,1.28595306214612E-5,1,0.499626677034896,40.0298881530762,0.979686428600184,-6.41999999061227,0.00545273838544241,0.000958074283883455,0.25,-1.36213916394612E-5,0.0020146042283576,-5.5579615875531E-6,299.997009277344,299.997009277344,-14381.716796875,-14341.765625,58.7980053591408,20.3421969001957,30.4475574493408,0,0,0,20,299.843231201172,1,6,1,1.10626220703125,37.6344108581543,,,,,,,,,,,,,,,,
,3668331944.739,299.997253417969,-14406.6528320312,0.00201948404968741,1.37558624521123E-5,1,0.499626677034896,40.0298881530762,0.979662562239538,-6.4300000667572,0.00546110066755116,0.000981242743489616,0.25,-5.87333312558248E-6,0.00201913077912605,2.20681823240126E-6,299.996490478516,299.996490478516,-14431.5888671875,-14381.716796875,58.6580938541985,20.3395449475469,30.3718318939209,0,0,0,20,299.84423828125,1,6,1,1.09024047851562,38.6119270324707,,,,,,,,,,,,,,,,
,3668331945.2265,299.997680664063,-14456.640625,0.00202268114523911,1.00470778594085E-5,1,0.499626677034896,40.0298881530762,0.979662562239538,-6.4300000667572,0.00547258597972328,0.000967251259397691,0.25,-1.16340283372713E-5,0.00202235029795346,-3.54008547379727E-6,299.998016357422,299.998016357422,-14481.6923828125,-14431.5888671875,58.8050400158139,20.3395449475469,30.3957386016846,0,0,0,20,299.844024658203,1,6,1,1.0858154296875,39.1006851196289,,,,,,,,,,,,,,,,
,3668331945.7255,299.997344970703,-14506.95703125,0.00202884354683597,1.40731814671464E-5,1,0.499626677034896,40.0298881530762,0.979757491338891,-6.41999999061227,0.00549036293100667,0.000967153051205203,0.25,-1.28306549630617E-5,0.00202851636698324,-4.71188578533994E-6,299.997344970703,299.997344970703,-14532.2216796875,-14481.6923828125,58.6643468823524,20.3377733141278,30.3885021209717,0,0,0,20,299.846801757812,1,6,1,1.10580444335938,38.6119270324707,,,,,,,,,,,,,,,,
,3668331946.23,299.99723815918,-14557.2119140625,0.00204500456647138,1.11865247577043E-5,1,0.499626677034896,40.0298881530762,0.979757491338891,-6.4300000667572,0.00553391492984648,0.000975854638468718,0.25,-1.25637359549557E-5,0.00204467331702379,-4.38042197657137E-6,299.997344970703,299.997344970703,-14582.2021484375,-14532.2216796875,58.4447092684485,20.3377733141278,30.456371307373,0,0,0,20,299.846221923828,1,6,1,1.09420776367188,38.6119270324707,,,,,,,,,,,,,,,,
,3668331946.7355,299.997222900391,-14607.2104492187,0.00205347702230727,1.01718620315277E-5,1,0.499626677034896,40.0298881530762,0.979783601423663,-6.4300000667572,0.00555295997305593,0.00100198193181474,0.25,-4.45537075401273E-6,0.00205311176172424,3.76026396967345E-6,299.997131347656,299.997131347656,-14632.21875,-14582.2021484375,58.8370867851024,20.3425138779779,30.4473533630371,0,0,0,20,299.846221923828,1,6,1,1.0870361328125,37.6344108581543,,,,,,,,,,,,,,,,
,3668331947.254,299.997329711914,-14657.2060546875,0.00205934354248977,1.30683318154899E-5,1,0.499626677034896,40.0298881530762,0.979783601423663,-6.41999999061227,0.00557340545910743,0.000979765943004437,0.25,-1.37457133696767E-5,0.00205901435019313,-5.50494138866227E-6,299.997314453125,299.997314453125,-14682.193359375,-14632.21875,58.6924855090447,20.3425138779779,30.4511299133301,0,0,0,20,299.841644287109,1,6,1,1.0833740234375,37.6344108581543,,,,,,,,,,,,,,,,
,3668331947.7535,299.997344970703,-14712.1899414062,0.00206908801251934,1.15155124475336E-5,1,0.499626677034896,40.0298881530762,0.979732412717568,-6.41999999061227,0.00559576776363681,0.00100470522395973,0.25,-6.28025523662153E-6,0.00206872714244876,1.99803783318813E-6,299.997344970703,299.997344970703,-14732.1513671875,-14692.228515625,59.2646375851217,20.3445568909932,30.4136829376221,0,0,0,20,299.843048095703,1,6,1,1.09573364257812,38.6119270324707,,,,,,,,,,,,,,,,
