#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000  20.00000000   0.74100000
  0.00000000  20.00000000   0.74100000
  0.00000000  22.90337068   0.29400000
 23.70743988  22.90337068   0.29400000
 23.70743988  66.34453562   3.93000000
2036.66441571  66.34453562   3.93000000
2036.66441571  20.00005243   0.00000000
2063.27744042  20.00005243   0.00000000
2063.27744042   0.00000000   0.00000000
2073.27744042   0.00000000   0.00000000
