#           Q (1/A)             dQ (1/A)                    R                   dR               theory              fresnel
     0.0051565104849    0.000652405192164        0.99899233717       0.012147918364     1.04776331060447     1.04252159343401
      0.005867753195      0.0006524067222        0.99224302274       0.011524792515     1.04719366240005     1.04160264793712
     0.0065789958603    0.000652408449696         1.0105048673       0.011204047391     1.04628326693691     1.04012919183574
     0.0072902384756    0.000652410374616        0.98762579913       0.010665384893     1.04517694700996     1.03832943963571
     0.0080014810354    0.000652412496924        0.99449818061       0.010394763154     1.04402705748116     1.03644581696862
     0.0087127235342    0.000652414816692         1.0058865587       0.010207330634     1.04286576067967     1.03452794569852
     0.0094239659667    0.000652417333848         1.0042950194      0.0099613777897     1.04169397506607     1.03257487889963
      0.010135208327    0.000652420048392        0.99535554961      0.0096943390528     1.04051064615036     1.03058217750079
      0.010846450611    0.000652422960396         1.0023453652      0.0095611984381     1.03931469153524     1.02854499986885
      0.011557692812    0.000652426069788        0.99779436292      0.0093668663559     1.03810499786126     1.02645803213448
      0.012268934925    0.000652429376568         1.0069821102      0.0092877814823     1.03688041756045     1.02431540556335
      0.012980176944    0.000652432880772         1.0196101755      0.0092414927623     1.03563976542278     1.02211059781722
      0.013691418865    0.000652436582364         1.0007757136      0.0089939928148     1.03438181492928     1.01983631394718
      0.014402660681     0.00065244048138         1.0108765122      0.0089548919647     1.03310529434902      1.0174843418023
      0.015113902388    0.000652444577748         1.0070886321      0.0088291921997     1.03180888253658     1.01504537475125
      0.015825143979    0.000652448871504         1.0089848899      0.0087519836348     1.03049120443776     1.01250879243239
       0.01653638545    0.000652453362684         1.0083316942      0.0086614511761     1.02915082622361     1.00986238686865
      0.017247626796    0.000652458051216         1.0158460543      0.0086327445766     1.02778625005123     1.00709201688086
      0.017958868009      0.0006524629371         1.0192364611      0.0085834681241     1.02639590838374     1.00418116708712
      0.018670109086    0.000652468020408         1.0179778966      0.0085068986158     1.02497815780082     1.00111037825448
      0.019381350021    0.000652473301032         1.0268860323      0.0085034298898     1.02353127229139    0.997856501772781
      0.020092590808    0.000652478779044         1.0262882497      0.0084403218684     1.02205343590984    0.994391709395407
      0.020803831443    0.000652484454408         1.0363837219      0.0084511455553     1.02054273474251     0.99068215637411
      0.021515071918    0.000652490327124         1.0215628294      0.0083013095644     1.01899714811409    0.986686143435383
       0.02222631223    0.000652496397156         1.0309602587      0.0083140716209     1.01741453888648     0.98235153683314
      0.022937552373     0.00065250266454         1.0306196048      0.0082653559165     1.01579264280609    0.977612060849178
      0.023648792341    0.000652509129276         1.0345340459      0.0082473450811     1.01412905671055    0.972381822768119
      0.024360032129    0.000652515791328         1.0336165003      0.0082004544676     1.01242122547333    0.966546966568133
      0.025071271731    0.000652522650696         1.0455782365      0.0082398358468      1.0106664275179    0.959952460132798
      0.025782511143     0.00065252970738          1.041591611      0.0081755591087     1.00886175868315    0.952380201261711
      0.026493750358     0.00065253696138         1.0390611543      0.0081234957801     1.00700411424104    0.943510626930807
      0.027204989371    0.000652544412696         1.0459426405      0.0081343462434     1.00509016875185     0.93285034048393
      0.027916228178    0.000652552061292         1.0420847977      0.0080770490427     1.00311635348146    0.919581814857775
      0.028627466771    0.000652559907168           1.04197791      0.0080452378503     1.00107883100781    0.902206150307879
      0.029338705147    0.000652567950324         1.0364807918      0.0079800695204     0.99897346652921    0.877544590494381
      0.030049943299    0.000652576190724          1.034433817      0.0079384531376     0.99679579544857    0.837941091885665
      0.030761181222     0.00065258462844         1.0362909033       0.007923653188    0.994540986527117    0.767409559672105
      0.031472418911      0.0006525932634           1.02130639      0.0078001155163    0.992203799942845    0.650446389385023
      0.032183656361    0.000652602095568         1.0195982924      0.0077641285309    0.989778539349786    0.502998816275036
      0.032894893565    0.000652611125016         1.0048205887      0.0076438204441    0.987258996897897    0.371041110631629
      0.033606130519    0.000652620351672         1.0047973989      0.0076209440701     0.98463838990852    0.278461253246128
      0.034317367216    0.000652629775572        0.99327177989      0.0075237120022    0.981909287721091    0.217869059309332
      0.035028603653     0.00065263939668        0.99486544243      0.0075133100084    0.979063526734534    0.176496081488113
      0.035739839823    0.000652649214996        0.99054444792       0.007464899232    0.976092111424876    0.146519971019399
       0.03645107572    0.000652659230484        0.98327698308      0.0073980423975    0.972985098362011    0.123818194760476
       0.03716231134     0.00065266944318        0.97574007742      0.0073299919447    0.969731459717762    0.106074337645046
      0.037873546677    0.000652679853048        0.96135162747      0.0072181905111    0.966318921804541   0.0918742779340414
      0.038584781726    0.000652690460088        0.96918791127      0.0072519175121     0.96273377295403   0.0802983638944813
       0.03929601648    0.000652701264264         0.9603779447      0.0071775443745      0.9589606336338   0.0707195517683077
      0.040007250936    0.000652712265612        0.96386140966      0.0071840715164    0.954982179556121   0.0626943538068629
      0.040718485087    0.000652723464096        0.96113271993       0.007150486657    0.950778806054494   0.0558997801172276
      0.041429718927     0.00065273485968        0.95432241932      0.0070910335597    0.946328218146257   0.0500948766194677
      0.042140952453      0.0006527464524        0.95541372058      0.0070832451117    0.941604926037884   0.0450962351979118
      0.042852185657     0.00065275824222         0.9406498785      0.0069727826667    0.936579619097757   0.0407618385167733
      0.043563418535     0.00065277022914        0.94346566211      0.0069776190003    0.931218381754435   0.0369800814703903
      0.044274651081     0.00065278241316        0.93323477353      0.0068974511557    0.925481702012355   0.0336621193499534
       0.04498588329    0.000652794794208        0.92424314533       0.006825957562    0.919323204101041   0.0307364166638042
      0.045697115156    0.000652807372356         0.9156510052      0.0067574313259    0.912688009738335   0.0281447889179503
      0.046408346675    0.000652820147532        0.90619276689      0.0066836089708    0.905510592025809   0.0258394796618954
       0.04711957784    0.000652833119736        0.89637220286      0.0066078885709    0.897711925688258   0.0237809695491704
      0.047830808646    0.000652846288968        0.88673010993      0.0065336305322    0.889195644437475   0.0219363119094266
      0.048542039088    0.000652859655192        0.87787673952      0.0064647616525    0.879842771822116   0.0202778530086559
       0.04925326916    0.000652873218444        0.86550710515      0.0063734426426    0.869504360595352   0.0187822372581326
      0.049964498857    0.000652886978688        0.85579358056      0.0062997663824    0.857990998477179   0.0174296261897634
      0.050675728174    0.000652900935888        0.83669740098      0.0061651562311    0.845057509329465   0.0162030796667288
      0.051386957104    0.000652915090044        0.81802652944      0.0060336486468    0.830380110911139   0.0150880615086105
      0.052098185644    0.000652929441156        0.79478181694      0.0058726129863    0.813521464407361   0.0140720414456642
      0.052809413787    0.000652943989188         0.7775588312      0.0057510092084    0.793876000699573   0.0131441723669973
      0.053520641527    0.000652958734176        0.75246919443      0.0055784398176     0.77058339103829   0.0122950268454489
       0.05423186886    0.000652973676012        0.72671104607      0.0054017392373    0.742394694401352   0.0115163807424956
       0.05494309578    0.000652988814804        0.68526734534      0.0051228638592    0.707492167887919    0.010801034453711
      0.055654322281    0.000653004150444        0.63450000208       0.004783139874    0.663377323154138    0.010142664438088
