#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     2.96128582155478                   20                0.741
    23.7074398845526     6.39152508514254     22.9033706779674                0.294
    2012.95697582379     15.2783543921581     66.3445356221888                 3.93
    26.6130247114402     13.5188256935216       20.00005242807                    0
                   0                    0                    0                    0
