#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     1.15524761634142                   20                0.741
    18.6266356272786     6.86050303961136     10.0821384163313                0.294
    243.803501099762     5.61071155045086     62.8887617210228       2.584387195771
    25.1803568159435     5.59744901159382     20.6857117993858      1.4433196146389
    259.197896429955     7.43778588171248     62.8887617210228       2.584387195771
    22.4029306322755     8.36486675534509     20.6857117993858      1.4433196146389
      257.8471668511     7.43778588171248     62.8887617210228       2.584387195771
    23.4909622069698     8.36486675534509     20.6857117993858      1.4433196146389
    257.954657020181     7.43778588171248     62.8887617210228       2.584387195771
    24.1043700817827     8.36486675534509     20.6857117993858      1.4433196146389
    256.755181135572     7.43778588171248     62.8887617210228       2.584387195771
    23.6454337885507     8.36486675534509     20.6857117993858      1.4433196146389
    257.116886778202     7.43778588171248     62.8887617210228       2.584387195771
    23.4573808505327     8.36486675534509     20.6857117993858      1.4433196146389
    254.914164707033     6.32934729023034     62.8887617210228       2.584387195771
    24.9810469394947     5.82125243659716     20.6857117993858      1.4433196146389
     251.36443811672     17.3452892727984     62.3475525054743     4.01000500250125
    6.00157062412164                    5     36.2698351847279   0.0184671933493501
                   0                    0                    0                    0
