Q,R_pp,dR_pp,theory_pp,R_mm,dR_mm,theory_mm,Asymmetry,dAsymmetry,Asymmetry_theory
0.05197765232,0.0005949466761,5.705823975e-05,0.0005830081689,0.003000214848,0.0001257389766,0.003107067907,-0.6690292372,0.02890769489,-0.6840129272
0.05297941662,0.0003455175077,4.343341407e-05,0.0003652066618,0.002360617333,0.0001092014193,0.002419536081,-0.744641322,0.02983732191,-0.737708869
0.05397656157,0.0004280770143,4.680454119e-05,0.0004289991015,0.002150611052,0.0001020539845,0.002156730764,-0.667988525,0.03300330769,-0.6681794899
0.05497601248,0.0005927180145,5.336612304e-05,0.0006176575946,0.002215863097,0.000101430719,0.002271516736,-0.5779235201,0.03363464773,-0.5724331426
0.05598006786,0.0007176618799,5.736311021e-05,0.0007908663564,0.002454374263,0.0001045720064,0.002597008135,-0.5475071231,0.03171264349,-0.533119448
0.05697718674,0.0007792961381,5.83588795e-05,0.0008349377299,0.002789857107,0.000109053469,0.002899790719,-0.563315955,0.02883440203,-0.5528790158
0.05797892127,0.0006730292558,5.340621864e-05,0.0007390850834,0.00284483863,0.000107856585,0.003012152751,-0.6173652464,0.02721250881,-0.6059513601
0.0589737193,0.0004527485581,4.376781941e-05,0.0005391113444,0.002712905303,0.0001032550823,0.002840413568,-0.7139620578,0.02546744869,-0.68095436
0.05997773744,0.0002486049952,3.346653169e-05,0.0003201527104,0.002264279274,9.259804682e-05,0.002418363917,-0.8021357384,0.02508384804,-0.7661853083
0.0609794459,0.0001191817419,2.564546634e-05,0.0001507385161,0.00180848931,8.140093614e-05,0.001841066292,-0.8763463904,0.02550292083,-0.848641277
0.06197421787,6.431508805e-05,2.039407618e-05,7.619380025e-05,0.001207383128,6.549327692e-05,0.001255859436,-0.8988516501,0.03089400561,-0.8855994668
0.06297820622,5.244071517e-05,1.848119154e-05,8.619676001e-05,0.000669115321,4.844447715e-05,0.0007572836273,-0.8546454813,0.04849504707,-0.7956164451
0.0639729633,0.0001726165262,2.637794645e-05,0.0001480654004,0.0004153562256,3.821464808e-05,0.0004216575496,-0.4128417494,0.07398516263,-0.4802196386
0.06497693675,0.0002086788504,2.793211934e-05,0.0002109771825,0.0002310765997,2.930301541e-05,0.0002409089105,-0.05093228363,0.09195275521,-0.06623732938
0.06597860053,0.0002303680756,2.873743697e-05,0.0002406483406,0.0001620480537,2.541939713e-05,0.0001812961959,0.1741009527,0.09717182879,0.14066338
0.06697793973,0.000192256561,2.597818369e-05,0.0002220733615,0.0001382406139,2.298464892e-05,0.0001819446776,0.1634384535,0.1042626104,0.09932399038
0.06797727893,0.0001296803654,2.181223044e-05,0.0001710229631,0.000205615959,2.594351108e-05,0.0001935114379,-0.2264730867,0.09974011349,-0.06169095356
0.06897890547,0.0001310413197,2.154544603e-05,0.0001131713317,0.0001765903835,2.368741566e-05,0.0001867160182,-0.1480636206,0.1037706195,-0.2452410432
0.06997822978,7.451499594e-05,1.775837159e-05,7.844371612e-05,0.0001747648894,2.306403239e-05,0.0001588467319,-0.4021579732,0.1141806501,-0.3388379787
0.07097522206,8.222131619e-05,1.842021074e-05,8.094048014e-05,0.0001169474538,1.93451653e-05,0.000122447181,-0.1743553349,0.1350090755,-0.2040767891
0.07197912849,0.000136845908,2.097318949e-05,0.0001185090254,7.006323718e-05,1.571518758e-05,9.536139685e-05,0.3227632631,0.1216800869,0.1082320235
0.07297378875,0.0001538440305,2.133265898e-05,0.0001724094099,0.0001170994496,1.862213887e-05,8.874047506e-05,0.1356171437,0.1035559138,0.3203866426
0.07397998996,0.0002457903513,2.52786603e-05,0.0002191083291,0.0001519653169,2.044204388e-05,0.0001026867804,0.2358861029,0.07995374827,0.3617878125
0.07497694501,0.0002198585675,2.383003938e-05,0.0002383178247,0.0001461514323,2.005834658e-05,0.0001266959107,0.2013801131,0.08389499775,0.3058019552
0.07597850452,0.0001994992104,2.277224777e-05,0.0002225399543,0.0001343371559,1.949210757e-05,0.0001468860082,0.1951916,0.08879112828,0.2047878432
0.07698005658,0.000173207937,2.087319904e-05,0.0001784491265,0.0001940562605,2.181710991e-05,0.0001517552648,-0.05676655544,0.08213940647,0.08084042015
0.07797466471,0.0001218406632,1.775122818e-05,0.0001227269939,0.0001039212215,1.680616432e-05,0.0001379469722,0.07937319309,0.1081486525,-0.05838702872
0.07897849666,8.841371748e-05,1.549292499e-05,7.385693717e-05,0.0001252584453,1.770433407e-05,0.0001105395354,-0.1724357884,0.1092184885,-0.1989332971
0.07997539957,4.813650561e-05,1.273884208e-05,4.620003905e-05,0.0001001941225,1.623841338e-05,8.113551998e-05,-0.3509566267,0.1360505001,-0.2743576202
0.0809768995,6.910649417e-05,1.414349527e-05,4.385183763e-05,8.87708796e-05,1.56698487e-05,6.201625409e-05,-0.1245548046,0.1330386691,-0.1715759316
0.08197839198,5.475975235e-05,1.254907738e-05,6.04076325e-05,6.999282728e-05,1.401151054e-05,6.177447221e-05,-0.1221062921,0.1498754728,-0.01118690594
0.08297525765,9.643773504e-05,1.455146319e-05,8.387752163e-05,8.661519173e-05,1.456940729e-05,8.251348197e-05,0.0536595808,0.1126589606,0.008197796928
